Disease_Name,Symptom,Count,not_count,term_proportion,survey_frequency,survey_idf,survey_tf_idf,HPO_Code,HPO_label,hpo_dataset_idf,survey_hpo_idf,survey_hpo_tf_idf
AHC (Alternating Hemiplegia of Childhood),Asthma_Symptom_Present,1.0,17.0,0.05555555555555555,0.002183406113537118,1.6505875661411493,0.003603902982840937,HP:0002099,Asthma,5.52851646604502,7.179104032186169,0.015674899633594256
CACNA1A related disorders,Asthma_Symptom_Present,3.0,40.0,0.06976744186046512,0.0030959752321981426,1.6505875661411493,0.005110178223347212,HP:0002099,Asthma,5.52851646604502,7.179104032186169,0.022226328273022195
CASK-Related Disorders,Asthma_Symptom_Present,2.0,12.0,0.14285714285714285,0.005780346820809248,1.6505875661411493,0.009540968590411267,HP:0002099,Asthma,5.52851646604502,7.179104032186169,0.041497711168706174
Classic homocystinuria,Asthma_Symptom_Present,1.0,4.0,0.2,0.022222222222222223,1.6505875661411493,0.03667972369202554,HP:0002099,Asthma,5.52851646604502,7.179104032186169,0.15953564515969265
HUWE1-related disorders,Asthma_Symptom_Present,4.0,14.0,0.2222222222222222,0.009324009324009324,1.6505875661411493,0.015390093856793933,HP:0002099,Asthma,5.52851646604502,7.179104032186169,0.06693803293413678
MSL3 -related disorders,Asthma_Symptom_Present,1.0,6.0,0.14285714285714285,0.00641025641025641,1.6505875661411493,0.010580689526545829,HP:0002099,Asthma,5.52851646604502,7.179104032186169,0.04601989764221903
Malan Syndrome,Asthma_Symptom_Present,2.0,27.0,0.06896551724137931,0.0027662517289073307,1.6505875661411493,0.004565940708550898,HP:0002099,Asthma,5.52851646604502,7.179104032186169,0.01985920894104058
Ogden Syndrome (NAA10),Asthma_Symptom_Present,2.0,7.0,0.2222222222222222,0.007194244604316547,1.6505875661411493,0.011874730691662946,HP:0002099,Asthma,5.52851646604502,7.179104032186169,0.051648230447382516
Ring14 and related disorders,Asthma_Symptom_Present,2.0,4.0,0.3333333333333333,0.011111111111111112,1.6505875661411493,0.01833986184601277,HP:0002099,Asthma,5.52851646604502,7.179104032186169,0.07976782257984633
STXBP1 related Disorders,Asthma_Symptom_Present,1.0,54.0,0.01818181818181818,0.0008077544426494346,1.6505875661411493,0.0013332694395324308,HP:0002099,Asthma,5.52851646604502,7.179104032186169,0.005798953176240847
Wiedemann-Steiner Syndrome (WSS),Asthma_Symptom_Present,7.0,48.0,0.12727272727272726,0.0052434456928838954,1.6505875661411493,0.00865476626441052,HP:0002099,Asthma,5.52851646604502,7.179104032186169,0.03764324211633197
Wiedemann-Steiner Syndrome (WSS),COPD_Symptom_Present,1.0,54.0,0.01818181818181818,0.000749063670411985,3.4423470353692043,0.0025785371051454714,HP:0006510,Chronic pulmonary obstruction,6.86351753277736,10.305864568146564,0.007719748740184692
8p-related disorders,Respitory_Abnormality_Symptom_Present,2.0,8.0,0.2,0.008968609865470852,1.6505875661411493,0.014803475929517034,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.995311305503341,0.0717068278520479
AHC (Alternating Hemiplegia of Childhood),Respitory_Abnormality_Symptom_Present,1.0,17.0,0.05555555555555555,0.002183406113537118,1.6505875661411493,0.003603902982840937,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.995311305503341,0.01745701158406843
CACNA1A related disorders,Respitory_Abnormality_Symptom_Present,1.0,42.0,0.023255813953488372,0.0010319917440660474,1.6505875661411493,0.0017033927411157371,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.995311305503341,0.00825109525851738
CASK-Related Disorders,Respitory_Abnormality_Symptom_Present,1.0,13.0,0.07142857142857142,0.002890173410404624,1.6505875661411493,0.0047704842952056336,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.995311305503341,0.023107836143073237
HUWE1-related disorders,Respitory_Abnormality_Symptom_Present,1.0,17.0,0.05555555555555555,0.002331002331002331,1.6505875661411493,0.0038475234641984833,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.995311305503341,0.018637089290217578
Kleefstra syndrome,Respitory_Abnormality_Symptom_Present,1.0,23.0,0.041666666666666664,0.0015408320493066256,1.6505875661411493,0.0025432782220973027,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.995311305503341,0.012319431903703146
Malan Syndrome,Respitory_Abnormality_Symptom_Present,1.0,28.0,0.034482758620689655,0.0013831258644536654,1.6505875661411493,0.002282970354275449,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.995311305503341,0.011058521861000472
Pallister-Killian mosaic syndrome (PKS),Respitory_Abnormality_Symptom_Present,1.0,7.0,0.125,0.005847953216374269,1.6505875661411493,0.00965255886632251,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.995311305503341,0.04675620646493182
Ring14 and related disorders,Respitory_Abnormality_Symptom_Present,3.0,3.0,0.5,0.016666666666666666,1.6505875661411493,0.027509792769019156,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.995311305503341,0.13325518842505568
STXBP1 related Disorders,Respitory_Abnormality_Symptom_Present,1.0,54.0,0.01818181818181818,0.0008077544426494346,1.6505875661411493,0.0013332694395324308,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.995311305503341,0.0064582482273855745
