Disease_Name,Symptom,Count,not_count,term_proportion,survey_frequency,survey_idf,survey_tf_idf,HPO_Code,HPO_label,hpo_dataset_idf,survey_hpo_idf,survey_hpo_tf_idf
Disease 10,Symptom 1,30,25,0.5454545454545454,0.0048115477145148355,1.2876820724517808,0.006195743732727093,HP:0006510,Chronic pulmonary obstruction,6.86351753277736,8.151199605229142,0.03921988583109451
Disease 11,Symptom 1,35,30,0.5384615384615384,0.005388760585065435,1.2876820724517808,0.00693901039812353,HP:0006510,Chronic pulmonary obstruction,6.86351753277736,8.151199605229142,0.04392486315365973
Disease 12,Symptom 1,37,32,0.5362318840579711,0.00980132450331126,1.2876820724517808,0.012620989849196263,HP:0006510,Chronic pulmonary obstruction,6.86351753277736,8.151199605229142,0.07989255242211345
Disease 4,Symptom 1,38,27,0.5846153846153846,0.007772550623849458,1.2876820724517808,0.010008574095554851,HP:0006510,Chronic pulmonary obstruction,6.86351753277736,8.151199605229142,0.06335561157674521
Disease 5,Symptom 1,42,48,0.4666666666666667,0.007945516458569807,1.2876820724517808,0.010231299100070902,HP:0006510,Chronic pulmonary obstruction,6.86351753277736,8.151199605229142,0.06476549062043585
Disease 6,Symptom 1,31,36,0.4626865671641791,0.004951285737102699,1.2876820724517808,0.006375681879253347,HP:0006510,Chronic pulmonary obstruction,6.86351753277736,8.151199605229142,0.0403589183456482
Disease 7,Symptom 1,32,31,0.5079365079365079,0.010174880763116057,1.2876820724517808,0.013102011547999042,HP:0006510,Chronic pulmonary obstruction,6.86351753277736,8.151199605229142,0.08293748405956519
Disease 9,Symptom 1,30,38,0.4411764705882353,0.005611672278338945,1.2876820724517808,0.007226049789291699,HP:0006510,Chronic pulmonary obstruction,6.86351753277736,8.151199605229142,0.045741860859871725
Disease 1,Symptom 2,35,21,0.625,0.01695736434108527,1.1823215567939547,0.02004905740687423,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.527045296156147,0.12763884949877186
Disease 10,Symptom 2,30,25,0.5454545454545454,0.0048115477145148355,1.1823215567939547,0.005688796584413575,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.527045296156147,0.03621673759176975
Disease 11,Symptom 2,36,29,0.5538461538461539,0.005542725173210162,1.1823215567939547,0.00655328345567088,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.527045296156147,0.04172034344289781
Disease 12,Symptom 2,36,33,0.5217391304347826,0.009536423841059603,1.1823215567939547,0.011275119482008574,HP:0002086,Abnormality of the respiratory system,6.344723739362192,7.527045296156147,0.07178109421499902
