,Symptom,Symptom Name,HPO,Matched Term,Unmatched Terms,Curated HPO,Curated Term,Potential Alt HPO,Potential Alt Term
1,Asthma_Symptom_Present,Asthma,HP:0002099,Asthma,,HP:0002099,Asthma,,
2,COPD_Symptom_Present,COPD,HP:0006510,Chronic pulmonary obstruction,,HP:0006510,Chronic pulmonary obstruction,,
3,Respitory_Abnormality_Symptom_Present,Respitory Abnormality,,,respitory abnormality,HP:0002086,Abnormality of the respiratory system,,
4,Decreased_Pulmonary_Function_Symptom_Present,Decreased Pulmonary Function,,,decreased pulmonary function,HP:0002795,Abnormal respiratory system physiology,,
5,Abnormal_Diaphragm_Symptom_Present,Abnormal Diaphragm,HP:0000775,Abnormality of the diaphragm,,HP:0000775,Abnormality of the diaphragm,,
6,Respitory_Insufficiency_Symptom_Present,Respitory Insufficiency,,,respitory insufficiency,HP:0002093,Respiratory insufficiency,,
7,Restrictive_Lung_Disease_Symptom_Present,Restrictive Lung Disease,"HP:0002088,HP:0002091","Abnormal lung morphology,Restrictive ventilatory defect",,HP:0002091,Restrictive ventilatory defect,,
8,Abnormal_Breathing_Patterns_Symptom_Present,Abnormal Breathing Patterns,"HP:0002791,HP:0002094","Hypoventilation,Dyspnea",,HP:0002094,Dyspnea,,
9,Abnormal_Upper_Respiratory_Symptom_Present,Abnormal Upper Respiratory,,,abnormal upper respiratory,HP:0002087,Abnormality of the upper respiratory tract,,
10,Abnormal_Eye_Movement_Symptom_Present,Abnormal Eye Movement,"HP:0000478,HP:0000496","Abnormality of the eye,Abnormality of eye movement",,HP:0000496,Abnormality of eye movement,,
11,Visual_Impairment_Symptom_Present,Visual Impairment,HP:0000505,Visual impairment,,HP:0000505,Visual impairment,,
12,Abnormal_Eye_Size_Symptom_Present,Abnormal Eye Size,"HP:0200007,HP:0000478","Abnormal size of the palpebral fissures,Abnormality of the eye",,HP:0200007,Abnormal size of the palpebral fissures,,
13,Abnormal_Iris_Symptom_Present,Abnormal Iris,HP:0000525,Abnormality iris morphology,,HP:0000525,Abnormality iris morphology,,
14,Coloboma_Symptom_Present,Coloboma,HP:0000589,Coloboma,,HP:0000589,Coloboma,,
