,Symptom,Curated HPO
0,Symptom 0,HP:0002099
1,Symptom 1,HP:0006510
2,Symptom 2,HP:0002086
3,Symptom 3,HP:0002795
4,Symptom 4,HP:0000775
5,Symptom 5,HP:0002093
6,Symptom 6,HP:0002091
7,Symptom 7,HP:0002094
8,Symptom 8,HP:0002087
9,Symptom 9,HP:0000496
10,Symptom 10,HP:0000505
11,Symptom 11,HP:0200007
12,Symptom 12,HP:0000525
13,Symptom 13,HP:0000589
14,Symptom 14,HP:0000517
15,Symptom 15,HP:0000504
16,Symptom 16,HP:0000540
17,Symptom 17,HP:0000545
18,Symptom 18,HP:0000587
19,Symptom 19,HP:0000479
20,Symptom 20,HP:0000508
21,Symptom 21,HP:0001907
22,Symptom 22,HP:0001928
23,Symptom 23,HP:0011889
24,Symptom 24,HP:0000978
25,Symptom 25,HP:0001892
26,Symptom 26,HP:0001978
27,Symptom 27,HP:0000421
28,Symptom 28,HP:0001872
29,Symptom 29,HP:0001877
30,Symptom 30,HP:0001881
31,Symptom 31,HP:0000301
32,Symptom 32,HP:0003011
33,Symptom 33,HP:0003011
34,Symptom 34,HP:0000924
35,Symptom 35,HP:0009127
36,Symptom 36,HP:0410167
37,Symptom 37,HP:0011006
38,Symptom 38,HP:0100285
39,Symptom 39,HP:0003560
40,Symptom 40,HP:0002656
41,Symptom 41,HP:0010674
42,Symptom 42,HP:0001382
43,Symptom 43,HP:0000939
44,Symptom 44,HP:0002659
45,Symptom 45,HP:0011297
46,Symptom 46,HP:0001155
47,Symptom 47,HP:0001760
48,Symptom 48,HP:0001385
49,Symptom 49,HP:0000768
50,Symptom 50,HP:0000767
51,Symptom 51,HP:0002652
52,Symptom 52,HP:0001560
53,Symptom 53,HP:0001558
54,Symptom 54,HP:0001787
55,Symptom 55,HP:0002686
56,Symptom 56,HP:0100767
57,Symptom 57,HP:0031437
58,Symptom 58,HP:0001622
59,Symptom 59,HP:0010881
60,Symptom 60,HP:0000306
61,Symptom 61,HP:0001595
62,Symptom 62,HP:0000153
63,Symptom 63,HP:0000153
64,Symptom 64,HP:0000464
65,Symptom 65,HP:0000366
66,Symptom 66,HP:0002015
67,Symptom 67,HP:0005978
68,Symptom 68,HP:0100651
69,Symptom 69,HP:0000819
70,Symptom 70,HP:0000823
71,Symptom 71,HP:0000873
72,Symptom 72,HP:0000824
73,Symptom 73,HP:0000826
74,Symptom 74,HP:0000135
75,Symptom 75,HP:0008221
76,Symptom 76,HP:0000836
77,Symptom 77,HP:0000821
78,Symptom 78,HP:0000853
79,Symptom 79,HP:0000843
80,Symptom 80,HP:0000829
81,Symptom 81,HP:0000852
82,Symptom 82,HP:0011968
83,Symptom 83,HP:0002019
84,Symptom 84,HP:0012719
85,Symptom 85,HP:0012719
86,Symptom 86,HP:0001732
87,Symptom 87,HP:0001392
88,Symptom 88,HP:0002579
89,Symptom 89,HP:0012719
90,Symptom 90,HP:0012719
91,Symptom 91,HP:0004378
92,Symptom 92,HP:0001548
93,Symptom 93,HP:0001513
94,Symptom 94,HP:0100555
95,Symptom 95,HP:0004322
96,Symptom 96,HP:0001508
97,Symptom 97,HP:0000845
98,Symptom 98,HP:0000098
99,Symptom 99,HP:0002617
100,Symptom 100,HP:0011675
101,Symptom 101,HP:0003115
102,Symptom 102,HP:0005294
103,Symptom 103,HP:0001638
104,Symptom 104,HP:0001627
105,Symptom 105,HP:0000822
106,Symptom 106,HP:0003124
107,Symptom 107,HP:0003077
108,Symptom 108,HP:0001297
109,Symptom 109,HP:0001075
110,Symptom 110,HP:0000957
111,Symptom 111,HP:0000953
112,Symptom 112,HP:0001010
113,Symptom 113,HP:0000966
114,Symptom 114,HP:0000975
115,Symptom 115,HP:0001030
116,Symptom 116,HP:0000992
117,Symptom 117,HP:0001072
118,Symptom 118,HP:0000974
119,Symptom 119,HP:0000973
120,Symptom 120,HP:0000704
121,Symptom 121,HP:0000230
122,Symptom 122,HP:0003763
123,Symptom 123,HP:0000689
124,Symptom 124,HP:0410028
125,Symptom 125,HP:0025124
126,Symptom 126,HP:0033748
127,Symptom 127,HP:0006482
128,Symptom 128,HP:0006481
129,Symptom 129,HP:0006486
130,Symptom 130,HP:0006479
131,Symptom 131,HP:0000692
132,Symptom 132,HP:0003003
133,Symptom 133, HP:0009726
134,Symptom 134,HP:0100031
